Lead I,Lead II,Lead III,aVR,aVL,aVF,V1',V2',V3',V4',V5',V6'
1.4070158338496133,-2.508908122,-3.916000761,0.550946144,2.661508298,-3.212454442,1288.0822419925066,1287.43072,2563.310197354395,81.63336372799344,85.74054792,237.6860261520247
1.4025686988941881,-2.503201028,-3.905837792,0.550316164,2.654203246,-3.20451941,1288.0722184828965,1287.8354565318853,2563.305288516784,81.30359540832836,85.65346239141715,237.60570216720407
1.3932198886770408,-2.459379749,-3.85269184,0.53307993,2.622955864,-3.156035794,1288.2178855709647,1287.5550075510557,2563.728440395878,78.98381712632538,83.47905555,235.42043536145934
1.3243244866259103,-2.441494438,-3.765899157,0.558584976,2.545111822,-3.103696797,1288.1323068457339,1287.5632719758537,2563.9981897860384,78.19931707548696,82.61548647715406,234.52795658510496
1.3210522678913479,-2.443046349,-3.764150164,0.56099704,2.542601216,-3.103598256,1288.0378722593457,1287.685484012124,2564.0222681121318,77.44245786052448,81.75556048859842,233.73277313343027
1.348314533711951,-2.443890182,-3.792261251,0.547787824,2.570287893,-3.118075717,1288.6145274012365,1287.5017711749979,2563.4797772543516,76.95051385425774,81.13247124905611,233.19785016863793
1.3282786962202242,-2.43430084,-3.76263206,0.553011072,2.545455378,-3.09846645,1288.7526542085645,1287.6471496901602,2563.7190191286695,77.76773523543744,81.84740281863833,233.87466713251686
1.3137091230016211,-2.467626272,-3.78139669,0.576958574,2.547552906,-3.124511481,1288.0799705756544,1287.834216244915,2563.9152072354645,78.89148230263447,83.02299079627167,234.91525429004685
1.3047219948304263,-2.529081486,-3.833850418,0.612179745,2.569286207,-3.181465952,1288.2895681654477,1287.8781195954123,2563.4422508342027,80.97472779,85.22484040284414,236.96900360744996
1.3217128867237933,-2.517714045,-3.8395026,0.598000579,2.580607743,-3.178608322,1288.385679304262,1287.986739,2563.601064837965,81.72841368486655,86.17405923,237.91044407059908
1.352352164403443,-2.480638776,-3.833069792,0.564143306,2.592710978,-3.156854284,1288.1845717699716,1287.4759471844975,2563.4940378635797,79.79344447,84.43528294791031,236.22667015668972
1.3784755578911545,-2.451505819,-3.830039465,0.536515131,2.604257511,-3.140772642,1288.1133871015304,1287.2505604433607,2563.1463032504857,78.16224791757264,82.82374111979877,234.6850827332354
1.4345775992948042,-2.395202664,-3.829854694,0.480312532,2.632216147,-3.112528679,1288.0552027775627,1287.7734703544788,2563.664704031112,77.60328715549464,82.10871786813318,234.10984713731307
1.4348637978156915,-2.385917129,-3.820889292,0.475526665,2.627876545,-3.10340321,1288.1398215282181,1287.7578372331054,2563.6721846273285,76.93387216155904,81.22661417936251,233.31178012247065
1.3519803097910936,-2.427757483,-3.779869292,0.537888587,2.565924801,-3.103813387,1288.1811225001939,1287.2755291679473,2563.157234769612,77.27882204,81.38758987938402,233.5188152
1.327200187558896,-2.465844015,-3.793145482,0.569321914,2.560172835,-3.129494749,1288.2988622563464,1287.2471301677242,2563.4577816575206,78.59560774368778,82.62509471042378,234.7639787675075
1.29745098,-2.492777226,-3.790301828,0.597663123,2.543876404,-3.141539527,1288.1545070714794,1287.4037357654875,2563.6541626920157,80.04540991896019,84.16470083,236.11997005096975
1.2644783259362133,-2.529855676,-3.794421246,0.632688675,2.529449786,-3.162138461,1287.7374700769947,1287.6230350950048,2563.971376723539,81.97965598635709,86.23379984421935,237.98958656542464
1.2796694647890507,-2.490726625,-3.770481204,0.60552858,2.525075334,-3.130603914,1288.264276293695,1287.5858439614694,2563.872158925037,80.87425905557453,85.25330039801402,237.07616981210185
1.313269549576073,-2.431149661,-3.744517699,0.558940055,2.528893624,-3.08783368,1288.5579432346278,1287.3865732913075,2563.791728833808,78.29248017833922,82.74271277824548,234.65150144055082
1.331598182,-2.455550184,-3.787235863,0.561976001,2.559417022,-3.121393024,1287.8546470761876,1287.5333448437364,2563.7026353127403,77.58624485278025,81.97532141398436,233.87720246747432
1.3491448071694294,-2.470618739,-3.819862917,0.560736966,2.584503862,-3.145240828,1287.9317236452482,1287.4256148944303,2563.6796768855825,77.20493134453532,81.49572790051158,233.41987991131217
1.3512584886021088,-2.449870848,-3.8012263,0.54930618,2.576242394,-3.125548574,1288.4042209202673,1287.3937210162605,2563.499856872588,77.61734689891924,81.88865755451934,233.77266500851152
1.2992374312139632,-2.465823162,-3.765134532,0.583292865,2.532185982,-3.115478847,1288.3598746105247,1288.016184,2563.3434626011895,78.21145851419408,82.45025687544603,234.20270050136094
1.2833009526103047,-2.494140276,-3.777531032,0.605419662,2.530415992,-3.135835654,1288.013783348179,1287.8115231171494,2563.5812545986496,79.11829862159873,83.26741108927797,235.0016366042178
1.3046583934744815,-2.53695169,-3.841688745,0.616146648,2.573173569,-3.189320217,1287.9548453864938,1287.2290344537387,2563.7394797518887,81.29414632674961,85.45383252909703,237.18479096474715
1.291207176222535,-2.524928848,-3.816221358,0.616860836,2.553714267,-3.170575103,1288.4200864224426,1287.511305029084,2563.639742119011,81.19309350035952,85.51211655866166,237.22198097721915
1.3015006903846054,-2.457668458,-3.759274619,0.578083884,2.530387655,-3.108471539,1288.433565112087,1287.8032888936546,2563.7268554505063,79.27019072062089,83.62279336160792,235.3981743782191
1.3467107953048723,-2.473032068,-3.819801317,0.563160636,2.583256056,-3.146416692,1288.2464278111001,1287.6813521780082,2563.573272286272,77.84929494056216,82.14646209793466,233.97722515307322
1.3507298374061543,-2.547945457,-3.898762228,0.59860781,2.624746033,-3.223353843,1287.7949286770122,1287.5842309727173,2563.377643819158,77.16633694001231,81.36051137,233.22283379221537
1.2851892981921273,-2.553645369,-3.83888902,0.634228035,2.562039159,-3.196267195,1288.0218303831593,1287.6807214355797,2563.7655744607923,77.31853684305588,81.28659476430114,233.2822937962672
1.2407615544362736,-2.528025869,-3.768834864,0.643632157,2.504798209,-3.148430366,1288.312250661506,1287.714628605736,2564.1121202117365,77.86090384222055,81.68756671884344,233.68962695789537
1.2451779080141432,-2.50646583,-3.751730449,0.630643961,2.498454178,-3.129098139,1287.8090438521792,1287.9184474854212,2564.046854268065,78.75580825,82.59531683125445,234.44170840781078
1.2343793949436865,-2.530808442,-3.765247731,0.648214524,2.499813563,-3.148028087,1287.6092729270983,1287.636264937005,2563.8033020988787,81.04983111792114,85.06481400019526,236.71960073440152
1.2231162244663898,-2.558635136,-3.781846299,0.667759456,2.502481262,-3.170240717,1288.4523639049912,1287.319952358039,2563.542132,81.96882839,86.22922208,237.8579699521801
1.217214223851002,-2.520143134,-3.737448173,0.651464455,2.477331198,-3.128795653,1288.4546378658845,1287.6548643218034,2563.203602571003,80.07274940284918,84.40896209,236.183233
1.2134704567354837,-2.46854969,-3.682032773,0.627539617,2.447751615,-3.075291232,1287.7235724270731,1287.6603025255154,2563.2226365146794,78.05408383,82.25637963148647,234.26859354495772
