Lead I,Lead II,Lead III,aVR,aVL,aVF,V1',V2',V3',V4',V5',V6'
0.23712454550488893,-3.148938049,-3.386169921,1.455906752,1.811647233,-3.267553985,0,0,0,0,0,0
0.2654364333101304,-3.145499805,-3.411028809,1.440031686,1.838232621,-3.278264307,0,0,0,0,0,0
0.3026390598361357,-3.157933929,-3.460602589,1.427647435,1.881620824,-3.309268259,0,0,0,0,0,0
0.31793106575848157,-3.139653591,-3.457642272,1.410861263,1.887786669,-3.298647931,0,0,0,0,0,0
0.3086936727692789,-3.12219985,-3.431009716,1.406753089,1.869851694,-3.276604783,0,0,0,0,0,0
0.27993060002030723,-3.136686168,-3.416709551,1.428377784,1.848320076,-3.27669786,0,0,0,0,0,0
0.27306320779481913,-3.166659696,-3.439789527,1.446798244,1.856426368,-3.303224612,0,0,0,0,0,0
0.31448596564029385,-3.173405478,-3.487978722,1.429459756,1.901232344,-3.3306921,0,0,0,0,0,0
0.2604229824269756,-3.183412396,-3.44391787,1.461494707,1.852170426,-3.313665133,0,0,0,0,0,0
0.19175692494718022,-3.161791309,-3.35361382,1.485017192,1.772685373,-3.257702564,0,0,0,0,0,0
0.22539417224470543,-3.137608745,-3.363108373,1.456107286,1.794251272,-3.250358559,0,0,0,0,0,0
0.22896125779236068,-3.160348066,-3.389407041,1.465693404,1.80918415,-3.274877554,0,0,0,0,0,0
0.22430016076194054,-3.158847767,-3.383229623,1.467273803,1.803764892,-3.271038695,0,0,0,0,0,0
0.24048231399576103,-3.178066946,-3.418622516,1.468792316,1.829552415,-3.298344731,0,0,0,0,0,0
0.24191174449314834,-3.243826859,-3.485796073,1.500957557,1.863853909,-3.364811466,0,0,0,0,0,0
0.24593984852874956,-3.283256269,-3.529268789,1.51865821,1.887604319,-3.406262529,0,0,0,0,0,0
0.22081664235183576,-3.252280843,-3.47317174,1.5157321,1.846994191,-3.362726292,0,0,0,0,0,0
0.19775284472736093,-3.230390861,-3.428213999,1.516319008,1.812983422,-3.32930243,0,0,0,0,0,0
0.23829131666913636,-3.232852578,-3.471222209,1.497280631,1.854756763,-3.352037394,0,0,0,0,0,0
