Lead I,Lead II,Lead III
1.316720041,-2.382180619,-3.698990049
1.3282644093160751,-2.404222301,-3.732584453
1.3245847947486293,-2.396413679,-3.721066248
1.2743415341937128,-2.44411086,-3.718522239
1.2779937501243743,-2.468676754,-3.746759349
1.3094412067484544,-2.428656703,-3.738194151
1.310058106725039,-2.378890225,-3.689024053
1.3061055517940523,-2.362767487,-3.668957113
1.2809182217549806,-2.376886787,-3.657888155
1.2838632098437792,-2.353100819,-3.637045782
1.306943492,-2.352233397,-3.659262247
1.299076757215055,-2.415647162,-3.714787561
1.2948226806314116,-2.442073366,-3.73697335
1.2985064993586666,-2.394546405,-3.693137269
1.3133384464691502,-2.359270572,-3.672687183
1.315879006347359,-2.364732005,-3.680669831
1.2951051494389592,-2.351479783,-3.646650472
1.2804142103474774,-2.343850922,-3.624326438
1.3074922339833348,-2.344109209,-3.65166798
1.2991947473300156,-2.360798301,-3.66007772
1.280321270614624,-2.391243031,-3.671634351
1.2774991989964335,-2.405713201,-3.683329393
1.300430083422242,-2.383708133,-3.684234932
1.2956399409564225,-2.348644341,-3.644371542
1.2729650312586096,-2.309804003,-3.582892807
1.2783693310956166,-2.308228909,-3.586691656
1.2618817028312923,-2.356917837,-3.618877065
1.253165586556422,-2.355054277,-3.608319354
1.2250281954943958,-2.349512592,-3.57461735
1.2142194122820487,-2.340564646,-3.554833625
1.2464108503417999,-2.306520757,-3.552982962
1.2464547031094932,-2.302206129,-3.548716297
1.2516485490734968,-2.319891947,-3.571624918
1.292986025551461,-2.283619602,-3.57670895
1.2883136280015868,-2.278102833,-3.566504678
1.2839728238655121,-2.322415878,-3.606462216
1.2994327794887202,-2.323259402,-3.622742794
1.2579902345008758,-2.342076679,-3.600149992
1.2458579692298821,-2.330696577,-3.576687077
1.266740187816057,-2.26969926,-3.536522749
1.291823006,-2.232763333,-3.524625472
1.3147826665085893,-2.236777988,-3.551632197
1.3032409528069793,-2.265138649,-3.568464657
1.2838467239877704,-2.275258448,-3.559164267
1.256209231934902,-2.291132634,-3.547408718
1.2309308449419922,-2.347868174,-3.5788811
1.2256810468454078,-2.331083146,-3.556852823
1.2318923354782558,-2.255509808,-3.487478673
1.256775229429942,-2.259034379,-3.515855532
1.301284452160675,-2.272608997,-3.573961588
1.2878250001925884,-2.254197721,-3.542096843
1.2217279679559403,-2.238473492,-3.460252877
1.2054943092245554,-2.197896169,-3.403472582
