I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-0.16110733937974367,0.31856880877175403,0.27017221384709855,-0.031097377946084238,-0.22038344347421351,0.30899586833781767,0.06992252004959063,-0.055388057406470965,0.04307924062829826,0.039350762274955854,0.013720811757602914,-0.16386882426234906
-0.15675273370155604,0.30117163752900483,0.25843455112742886,-0.025986647195620695,-0.2181793195700661,0.3006822250062678,0.08914147718727855,-0.044659477610614604,0.0361100711239545,0.03638339398092292,0.04364717270434541,-0.12287791425087037
-0.15913565477150945,0.26329006322819687,0.24093093412141786,-0.02059414449161915,-0.21771100062983012,0.27363506254448133,0.09251979449434374,-0.0437569211152943,0.026855225254582785,0.01649038397952065,0.058864784051510036,-0.09479995501255602
-0.17525080828259768,0.20482983161060417,0.22236223562687438,-0.0006382575374999685,-0.2194106582106716,0.228191975665292,0.08518449662920875,-0.050710907915082426,0.020976022014687665,-0.00047003276094945167,0.04416374841088858,-0.10745294237484325
-0.2062125987293594,0.12372295823363227,0.20244114010313632,0.07230582767544592,-0.21875273861298025,0.17428839001836732,0.08873527740066484,-0.059364527768407886,0.022650789044453144,0.0031223544744646576,-0.00509177742971156,-0.1465420037076606
-0.23459491711894,0.039794673069298785,0.1793447959484278,0.19313614713628535,-0.2177455812884141,0.14239668358909593,0.09130057481405689,-0.07486136632010663,0.01608381758664211,-0.011535606032548105,-0.013062148438109497,-0.10874313535888708
-0.26183761652423754,-0.008009960024194554,0.17370875478417402,0.28270281478496173,-0.21919200065641234,0.12553715948547883,0.08425151820933041,-0.09313673913991233,-0.005626923045193133,-0.014499742904410855,-0.0005214029604350568,-0.09269364191390254
-0.29133465134986264,-0.059285278598031226,0.16785122132543115,0.35379753998323366,-0.21860452145925005,0.09330092483470341,0.07197677036097071,-0.09991978653140933,-0.022667759085227945,-0.005080973373360761,-0.0033766834278069766,-0.12433952983671921
-0.33122344573440055,-0.15123913005816975,0.14851517639756617,0.4522792281893251,-0.21661269229721491,0.03346093664827594,0.05832919209456422,-0.09133783955200261,-0.02159386873770367,0.00723092610174762,-0.033194107994370704,-0.1846733560947252
-0.39420386753742565,-0.3181912151589871,0.10699869207588951,0.655484316097418,-0.21893314719633192,-0.04826530500754891,0.04673117686775278,-0.07364311322380024,0.004791253948305386,0.003159017440448446,-0.07796831802213611,-0.21123978585214007
-0.48274520625554185,-0.36567632485652535,0.14313733225163108,0.826623921648805,-0.2768310490155209,-0.021243609555383788,0.056211161543042294,-0.07243486349554319,0.020029735404917905,0.0020777724598072876,-0.1025079638868418,-0.20230957725543117
-0.5446386206043939,-0.23221068879349535,0.2525232626514646,0.7649497278925026,-0.3754336707693961,0.0984309930018497,0.07401590806741817,-0.07329340055767791,0.020687883896372418,0.0028547544298974025,-0.11539089922064542,-0.23153182923474946
-0.5746150547846448,-0.07405732970818585,0.35270342740093397,0.6325535974650672,-0.45862785552022667,0.215798895861383,0.08481554590756608,-0.07410935044133479,0.022433834405868307,0.0037436817192491568,-0.11462615800802606,-0.2574796026441627
-0.5707635692220051,0.014290126474685787,0.39468349598621266,0.5418616880172963,-0.49011511959005466,0.2761321268466576,0.08205904411291892,-0.07407826278317556,0.03060126911915961,0.0038629468601057036,-0.10095079859746543,-0.2411912957053898
-0.5344125747842623,-0.0020983648645667135,0.3617338132678818,0.5572541118453482,-0.4527365323289984,0.2634630748677135,0.06767225369440105,-0.0736139125513293,0.040562287890396044,0.003150522108969933,-0.07781830211661221,-0.14631838082096038
-0.42667158406932887,0.06674531956125337,0.3233423048780499,0.39852128279688215,-0.3839207031695036,0.2629546095360907,0.05508144325708326,-0.0639619305601819,0.03158146806182952,-0.0003142790962521324,-0.05590431830476225,-0.05049069347284214
